Item #,Latitude,Longitude,Zip_Code,State Abbrv. ,State,Year,TimeStamp,Event (short name),Event Description,Event Class,Gender of Victim(s),Source,Permanent URL
12,38.471869,-77.99675,22701,VA,Virginia,2016,2016-09-19T00:00:00,Anti-Mosque Campaign,"A small Muslim community in Culpeper, Virginia, was prevented from moving forward in building a mosque in a rural location outside of town. The county denied the proposed construction over questions about waste disposal, butæmembers of the community have experienced discrimination before and suspect that the incident is related to anti-Muslim sentiment in the town. Members of the county government noted that they had been deluged with anti-Muslim opposition to the project.",public campaigns (targeting community),male and female,https://www.washingtonpost.com/local/public-safety/virginia-county-puts-brakes-on-plans-for-new-mosque-was-it-discrimination/2016/09/18/15101ace-79d1-11e6-bd86-b7bbd53d2b5d_story.html?utm_term=.644142d07c53,
14,35.451721,-97.531128,73108,OK,Oklahoma,2016,2016-08-26T00:00:00,Violent Threat,Justin Bouma pleads guilty to sending a threatening letter to an Oklahoma City mosque that contained white powder meant to be mistaken for anthrax.æThe man also spray-painted Muslim businesses with anti-Muslim sentiments and faces felony charges.,bias-related incident (targeting individual or specific group),male and female,http://newsok.com/article/5515459,
15,33.751748,-84.063263,30058,GA,Georgia,2016,2016-09-14T00:00:00,Anti-Mosque Campaign,"Georgia Security Force III%, a militia based in Georgia, protests the possibility of a mosque and cemetery being built in Newton County.æSome protesters are armed, and the demonstration followed the group's release of an anti-Islam video that was later taken down.",public campaigns (targeting community),male and female,http://www.ajc.com/news/local-govt--politics/protesters-take-opposing-sides-proposed-newton-mosque/bV4pOh4nGNGmJEtPbMYoCO/,
16,32.3351,-80.6923,29902,SC,South Carolina,2016,2016-09-20T00:00:00,Violent Incident,"A Muslim-AmericanæMarine recruit dies after being hazed by his drill instructor, who regularly referenced the soldier's religion. The recruit jumped down a stairwell after being denied permission from the instructor toægo on sick call despite visible symptoms of injury.",bias-related incident (targeting individual or specific group),male,http://www.chicagotribune.com/news/opinion/editorials/ct-marines-muslims-hazing-boot-camp-islam-edit-0916-20160915-story.html,
17,31.201349,-86.797485,36426,GA,Georgia,2015,2015-09-27T00:00:00,National Political Speech,"Ben Carson, a candidate for the Republican Presidential nomination, makes a series of statements reflecting his belief that a Muslim would not be fit to be president due to their religious beliefs and (his perception of) the incompatibility of these beliefs with the US Constitution. This belief is echoed in other statements given by Carson during his bid for president. ",public speech (political figures),male and female,https://www.theguardian.com/us-news/2015/sep/27/ben-carson-muslim-president-subjugate-beliefs,
18,33.523079,-86.797485,35203,AL,Alabama,2014,2014-11-06T00:00:00,Legislative Discrimination,"Voters in Alabama approve a ballot measure clarifying the state constitution, making clear that state courts cannot apply foreign law in a manner that contravenes state law. The measure is similar to other efforts around the country to target shari'a.",legislation (targeting community),male and female,http://www.al.com/news/index.ssf/2014/11/amendment_banning_foreign_law.html,
19,30.315988,-81.655884,32207,FL,Florida,2013,2013-04-23T00:00:00,Legislative Discrimination,"A thinly-veiled anti-shari'a law is passed in Florida, generating controversy due to the impact on Jewish law as well as Islamic law. As in similar efforts around the country, the law does not mention shari'a specifically, but organizations behind such legislation are known to target Islamic law.",legislation (targeting community),male and female,http://jacksonville.com/news/premium-news/2013-04-22/story/bills-banning-sharia-law-get-mixed-reaction-florida,
20,42.322001,-83.174744,48126,MI,Michigan,2014,2014-06-02T00:00:00,Public Campaign,"A pastor promotes and plans a protest outside a mosque in Dearborn, Michigan. This is the pastor's fifth organized protest in opposition to Islam, and his Facebook page about the event reveals that he has some pubilc support.",public campaigns (targeting community),male and female,http://www.usatoday.com/story/news/nation/2014/06/02/pastor-bikers-plan-rally-against-mosque/9858613/,
21,41.47566,-81.694336,44113,OH,Ohio,2016,2016-06-13T00:00:00,National Political Speech,Republican presidential nominee Donald Trump reaffirms his support in banning Muslims from the US following the massacre in Orlando.,public speech (political figures),male and female,https://www.wsj.com/articles/hillary-clinton-calls-for-reinstatement-of-assault-weapons-ban-after-orlando-shooting-1465826332,
22,33.682068,-116.17939,92236,CA,California,2015,2015-12-13T00:00:00,Vandalism,"A Coachella county mosque is set on fire by a man later arrested on suspicion of hate crime and arson potentially related to retaliation for the San Bernardino shootings. No one was injured, but the event followed a series ofæevents targeting the Muslim community.",crimes against property,male and female,http://www.latimes.com/local/lanow/la-me-ln-suspect-arrested-for-hate-crime-arson-in-fire-at-coachella-valley-mosque-20151212-story.html,
23,34.043557,-118.22937,90033,CA,California,2016,2016-01-16T00:00:00,Violent Incident,"A passenger attacks a Sikh (non-Muslim) bus driver, calling him a ""terrorist"" and ""suicide bomber.""",bias-related incident (targeting individual or specific group),male,http://www.latimes.com/local/lanow/la-me-ln-attack-on-metro-driver-sparks-fear-in-sikh-community-20160114-story.html,
24,35.903512,-79.044571,27514,NC,North Carolina,2015,2015-02-12T00:00:00,Homicide,"Self-proclaimed atheist Craig Hicks shoots and kills Deah Shaddy Barakat, Yusor Mohammad Abu-Salha, and Razan Mohammad Abu-Salha, in Chapel Hill, North Carolina. Hicks had made comments in the past about the victims' religious identities, although the incident allegedly resulted from a parking dispute.",crimes against people,male and female,https://www.washingtonpost.com/news/morning-mix/wp/2015/02/12/chapel-hill-murders-why-hate-crimes-are-so-hard-to-prove/?utm_term=.79f8260477a8,
25,33.744897,-84.402466,30303,GA,Georgia,2016,2016-06-08T00:00:00,Airport Discrimination,A Muslim-American couple is asked to get off of a Delta Airlines flight from Paris back to the U.S. because a flight attendant reports being uncomfortable with the two being on the plane.,bias-related incident (targeting individual or specific group),male and female,http://www.usatoday.com/story/news/nation-now/2016/08/05/muslim-couple-removed-delta-flight-humiliating/88306878/,
26,41.877741,-87.643433,60661,IL,Illinois,2016,2016-03-20T00:00:00,Airport Discrimination,A family is removed from a United Airlines flight to Washington D.C. from Chicago after a delay involving a question from the family about their child's booster seat.,bias-related incident (targeting individual or specific group),male and female,http://www.chicagotribune.com/news/local/breaking/ct-muslim-family-united-airlines-met-20160415-story.html,
27,40.844983,-73.876877,10460,NY,New York,2016,2016-01-16T00:00:00,Violent Incident,Two teensæshouting about ISIS physically attack a Muslim man in the Bronx.,bias-related incident (targeting individual or specific group),male,http://www.nydailynews.com/new-york/nyc-crime/isis-attack-muslim-man-bronx-sparks-outrage-article-1.2500067,
28,37.548933,-77.434387,23219,VA,Virginia,2015,2015-12-29T00:00:00,Political Speech,"A Virginia lawmaker tweets about Donald Trump, calling him a ""moron,"" and receives angry and threateningætweets in return linking him with Muslim terrorism and Sharia law.",public speech (political figures),male,https://www.nytimes.com/politics/first-draft/2015/12/29/virginia-lawmaker-faces-wrath-of-donald-trump-supporters/?_r=0,
29,47.599072,-122.331309,98104,WA,Washington,2015,2015-08-12T00:00:00,Public Campaign,"A court of appeals prevents the American Freedom Defense Initiative, an anti-Muslim group, from showing advertisements on buses that show photographs of wanted terrorists. The group claims its freedom of speech has been violated.",public campaigns (targeting community),male and female,http://www.seattletimes.com/seattle-news/appeals-court-rules-against-anti-muslim-group-over-metro-bus-ads/,
30,45.560218,-94.163818,56303,MN,Minnesota,2013,2013-10-13T00:00:00,National Political Speech,"Michelle Bachmann, a Republican Representative from Minnesota, makes statements about wanting to halt refugee resettlement and links new mosques being built to the Muslim Brotherhood.",public speech (political figures),male and female,http://www.sctimes.com/story/news/local/2017/01/30/refugee-travel-ban-sparks-concern-opposition-st-cloud/97239514/,
31,34.198173,-79.766235,29506,SC,South Carolina,2015,2015-10-15T00:00:00,Vandalism,"Mushtaq Hussain discovers strips of bacon spelling ""pig"" and ""chump""æoutside of the Florence, S.C. mosque he attends. At first, he considers it a joke, but soon realizes the hateful intention behind the message and police investigate the graffiti as a case of harassment.",bias-related incident (targeting individual or specific group),male and female,http://www.csmonitor.com/USA/Justice/2010/1015/Bacon-attack-on-an-American-mosque-prank-or-hate-crime,
34,42.342305,-83.056641,48201,TN,Tennessee,2012,2012-09-14T00:00:00,Anti-Mosque Campaign,"A Christian legal advocacy group files a complaint against an Islamic Cultural Association's purchase of a building in West Bloomfield, MI. The group accuses Islamic organizations of waging ""stealth jihad"" and appeals a judge's original dismissal of the case.æ",public campaigns (targeting community),male and female,http://www.usnews.com/news/us/articles/2012/09/06/plan-for-suburban-detroit-mosque-draws-resistance,
35,42.720786,-84.416199,48864,MI,Michigan,2014,2014-07-07T00:00:00,Assault,"After attacking a Muslim woman at the mall and trying to pull off her abaya, Jonathan Deuel is charged with ethnic intimidation and assault and battery.",crimes against people,female,http://www.wardheernews.com/mason-man-charged-assault-ethnic-intimidation-muslim-woman/,
36,38.908133,-77.041626,20036,MI,Michigan,2013,2013-08-21T00:00:00,Legislative Discrimination,The ACLU investigates and makes public a covert national security program started in 2008 under George W Bush that grants immigration authorities the power to delay immigration benefits to Muslims and those from Muslim countries.,legislation (targeting community),male and female,https://www.theguardian.com/world/2013/aug/21/fbi-power-delay-citizenship-muslims-aclu,
37,43.663898,-70.257568,4101,ME,Maine,2011,2011-05-02T00:00:00,Vandalism,"Hours after President Obama announces the death of Osama bin Laden, graffiti saying ""Go home"" and ""Osama today Islam tomorrow"" are found on the walls of a Portland mosque.",crimes against property,male and female,http://www.pressherald.com/2011/05/02/graffiti-on-portland-mosque-under-investigation/,
38,40.713956,-74.003917,10007,NY,New York,2012,2012-02-25T00:00:00,Political Speech,"Speaking in New York City, New York, Mayor Michael Bloomberg advocates secret police monitoring of mosques and Muslim student groups.",public speech (political figures),male and female,"http://www.benningtonbanner.com/stories/nypd-anti-terror-exposes-split-between-city-others,154890",
39,35.146863,-90.049438,38103,TN,Tennessee,2011,2011-05-07T00:00:00,Airport Discrimination,"Two Muslim men wearing so-called traditional dress are asked to leave a Delta flight from Memphis, Tennessee, to Charlotte, North Carolina, without any explanation.",bias-related incident (targeting individual or specific group),male,http://www.csmonitor.com/USA/2011/0507/Two-Muslims-bounced-from-Memphis-flight-despite-extra-screening,
40,35.191767,-80.859375,28209,NC,North Carolina,2013,2013-07-05T00:00:00,Legislative Discrimination,"The North Carolina state legislature passes legislation barring judges from considering foreign law, including sharia.",legislation (targeting community),male and female,http://www.usatoday.com/story/news/nation/2013/08/04/states-ban-foreign-law/2602511/,
41,38.582526,-92.175293,65101,MO,Missouri,2013,2013-07-05T00:00:00,Legislative Discrimination,"Missouri Governor Jay Nixon (D) vetoes a foreign-law bill, claiming it would make international adoptions more difficult.",legislation (targeting community),male and female,http://www.usatoday.com/story/news/nation/2013/08/04/states-ban-foreign-law/2602511/,
42,40.713956,-74.014893,10285,NY,New York,2010,2010-08-23T00:00:00,Public Campaign,"Proponents and opponents of the Park51 Islamic cultural center, a project proposed for a site near Battery Park in lower Manhattan in New York City, New York, face off in counter-protests in the wake of President Obama's announcement of support. Opponents of the project begin calling the proposed center the ""Ground Zero Mosque.""",public campaigns (targeting community),male and female,http://www.sandiegouniontribune.com/sdut-passions-rise-at-dueling-nyc-mosque-demonstrations-2010aug23-story.html,
43,38.899583,-77.047119,20037,DC,District of Columbia,2010,2010-08-15T00:00:00,National Political Speech,"President Obama speaks out in favor of Park51 Islamic cultural center, a project proposed for a site near Battery Park in lower Manhattan in New York City, New York, stating that ""Muslims have the same right to practice their religion as anyone else in this country."" A tremendous controversy ensues as opponents of the project begin misleadingly calling the project a ""Ground Zero Mosque.""",public speech (political figures),male and female,http://www.foxnews.com/politics/2010/08/14/obamas-support-ground-zero-mosque-draws.html,
44,41.660601,-83.551025,43620,OH,Ohio,2012,2012-10-03T00:00:00,Vandalism,A man is arrested for two counts of arson after being shown in surveillance photographs at a mosque that was targeted with an intentionally-set fire in Ohio.,crimes against property,male and female,https://article.wn.com/view/2012/09/22/CAIR_Asks_FBI_to_Probe_Hate_Vandalism_of_NY_Mosque_i/,
45,29.707838,-82.37706,32606,FL,Florida,2010,2010-09-10T00:00:00,Public Campaign,"Reverend Terry Jones founds ""International Burn a Koran Day"" and plans to burn copies of the Koran on the 11th anniversary of the 9/11 attacks in protest of the Park51 project in New York City. The plan and event receives significant national backlash.",public campaigns (targeting community),male and female,https://www.theguardian.com/world/2010/sep/09/us-pastor-cancels-quran-burning,
46,35.835628,-86.407471,37129,TN,Tennessee,2011,2011-05-19T00:00:00,Anti-Mosque Campaign,"After facing vandalism and discrimination when making plans to build a new mosque in Murfreesboro, TN, non-Muslims rallied around their neighbors to elect supportive representatives and form support committees. However, anti-mosque forces still filed suit against the mosque for what they percieved as ""stealth jihad.""",public campaigns (targeting community),male and female,http://articles.latimes.com/2011/may/19/opinion/la-oe-mcmanus-mosques-20110519,
47,38.444985,-78.87085,22801,VA,Virginia,2012,2012-09-16T00:00:00,Vandalism,"Following a viral anti-Muslim video, obscene racial insults are scrawled on a mosque building in VA. The vandalism was a surprise to the Muslims in the community, who had always felt included before the video in combination with a recent car vandalism targeting those who were at an early prayer service in the mosque.",crimes against property,male and female,https://www.washingtonpost.com/local/virginia-mosques-vandalized-area-muslim-leaders-call-for-calm/2012/09/15/88e80d86-ff63-11e1-b153-218509a954e1_story.html?utm_term=.70ec796e3fef,
49,38.634036,-90.197754,63106,MO,Missouri,2010,2010-09-26T00:00:00,Violent Threat,"Adil Imdad, a St. Louis Muslim man recieves a phone call from a stranger who is threatening to burn a Quran. After some conversation, the man reveals himself to be Roman Conaway and divulges that he plans to harm the president and start a war between Muslims and Christians. Imdad calls the FBI, who arrest Conaway and charge him with making false threats to detonate an explosive device and threatening the president. ",bias-related incident (targeting individual or specific group),male,http://www.stltoday.com/lifestyles/faith-and-values/standoff-suspect-s-call-was-to-ballwin-muslim/article_4731c4c3-6b26-589f-a4fb-22fdc650f9ca.html,
50,44.964798,-93.191528,55114,MN,Minnesota,2016,2016-11-06T00:00:00,National Political Speech,"Republican candidate for PresidentæDonald Trump uses the backdrop of the Twin Cities, among the most segregated cities in the country, to decry immigration from Muslim-majority countries. In this case, candidate Trump is discussing Somali immigrants, an incredibly small number of whom have joined al-Shabab or ISIS.",public speech (political figures),male and female,https://www.theguardian.com/us-news/2016/nov/06/donald-trump-minnesota-somali-migrants-isis,
51,27.264396,-80.359497,34953,FL,Florida,2016,2016-07-03T00:00:00,Assault,A man is arrested for violent assault of a Muslim man outside a mosque in Florida. The event is investigated as bias-motivated because a witness claims to have heard anti-Islamic statements before the attack began.,crimes against people,male,http://www.palmbeachpost.com/news/breaking-news/witness-recounts-attack-outside-fort-pierce-mosque/OTmkgMLkG8Fs5dR4BuX8hJ/,
52,42.043301,-71.92749,1571,MA,Massachusetts,2016,2016-07-05T00:00:00,Anti-Cemetery Campaign,"After intense public disapproval of the plan (first introduced in February 2016), an Islamic society's proposal to build a cemetery on unused farmland in Dudley, Massachusetts, is refused.æThe group files a lawsuit against the town, claiming that the justification for refusing to allow the purchase is actually based in prejudicial treatment.æ",public campaigns (targeting community),male and female,https://www.bostonglobe.com/metro/2016/07/05/islamic-group-files-suit-accusing-dudley-illegally-blocking-muslim-cemetery-plans/9TpLhOUWs8S3z2QoGmHPbM/story.html,
53,40.93219,-73.898163,10701,NY,New York,2016,2016-06-19T00:00:00,Anti-Mosque Campaign,"A Muslim group purchases an old home in a New York suburb to fix up in order to use it as their mosque. However, a neighborhood group successfully files for the home to be declared a city landmark, making any exterior changes difficult if not impossible.",public campaigns (targeting community),male and female,http://www.lohud.com/story/news/local/westchester/yonkers/2016/05/28/yonkers-signs-mosque-bill/85052024/,
54,40.781061,-73.966827,10024,NY,New York,2016,2016-03-03T00:00:00,Airport Discrimination,"Shan Anand, Faimul Alam, W.H., and M.K., four of six friends returning home to New York from Toronto, are removed from an American Airlines flight because they made the crew uncomfortable. Three of the four removed are Muslim, while the fourth is Sikh.",bias-related incident (targeting individual or specific group),female,http://www.nydailynews.com/new-york/manhattan/hotel-plaza-athenee-hit-discrimination-lawsuit-article-1.2551149,
55,38.251123,-85.753784,40202,KY,Kentucky,2016,2016-05-23T00:00:00,Hate Speech,"Ted Nugent, a famous rock star,æspeaks at an NRA rally in support of Trump. Reminiscent of Ben Carson's earlier comments comparing Muslims to rabid dogs, Nugent expresses his support for Trump's Muslim ban idea with an allegory to banning a specific breed of dog if there were a ""rash of dog bites in [his] neighborhood.""",public speech (political figures),male and female,http://www.courier-journal.com/story/news/politics/2016/05/22/nra-louisville-live-updates-ted-nugent-talks-guns-and-politics/84552816/,
56,38.903858,-77.036133,20036,DC,District of Columbia,2016,2016-06-24T00:00:00,National Political Speech,"President Obama denounces Trump's rehtoric regarding immigrants from nations linked to terrorism, saying that ""Mr. Trump's views divide the nation and make it harder to work with Muslims here and abroad."" He continues to criticize Trump on his lack of understanding of foreign policy.",public speech (political figures),male and female,http://blogs.wsj.com/washwire/2016/07/24/obama0724/,
57,44.974271,-93.226376,55414,MN,Minnesota,2016,2016-07-01T00:00:00,Attempted Homicide,Two Muslim men are injured in a shooting early in the morning after the assailant makes derogatory remarks about Muslims. The shooting is investigated as a possible bias-motivated crime.,crimes against people,male,http://www.mndaily.com/article/2016/07/shooting-near-campus-will-be-investigated-bias-motivated-crime,
58,37.871601,-122.273026,94703,CA,California,2016,2016-04-14T00:00:00,Airport Discrimination,An Iraqi refugee who is a student at UC Berkeley is removed from a Southwest Airlines flight and question by the FBI after another passenger became uncomfortable at hearing him speak Arabic to his family on the phone.,bias-related incident (targeting individual or specific group),male,http://www.dailycal.org/2016/10/10/civil-rights-group-files-complaint-after-uc-berkeley-students-removal-from-southwest-flight/,
59,39.925535,-75.113525,8104,NJ,New Jersey,2016,2016-04-16T00:00:00,Employment Discrimination,A Muslim woman files a discrimination suit regarding her dismissal from a job as a nurse and claims that a formal policy regarding the reason for her dismissal was not implemented until the day afterwards. Other former employees testify about bias regarding the Muslim faith.,bias-related incident (targeting individual or specific group),female,http://www.courierpostonline.com/story/news/2016/04/15/cooper-muslim-bias-lawsuit/83083304/,
61,29.764377,-95.364075,77201,TX,Texas,2016,2016-03-23T00:00:00,National Political Speech,"Ted Cruz, a candidate for the Republican presidential nomination, makes a statement following the attacks in Brussels outlining his support for greater patrolling of Muslim neighborhoods. He does not define ""Muslim neighborhood"" but mentions empowering law enforcement to prevent radicalization.",public speech (political figures),male and female,http://www.mystatesman.com/news/national-govt--politics/ted-cruz-calls-for-patrolling-muslim-neighborhoods/cTUpaH3I7rcowxKhvDOvGO/,
62,38.89768,-77.036562,20500,DC,District of Columbia,2016,2016-11-08T00:00:00,Presidential Election,"Donald J Trump is elected as the President of the United States. Trump's campaign for President is rife with statements and policy proposals questioning the place of Muslims in the United States, among other things calling for a ban on Muslims entering the country, surveilling mosques, and creating a registry of Muslims in the United States. The Islamophobic tenor of his campaign emerged early on in his candidacy. At a September 2015 New Hampshire rally a supporter described Muslims in America as ""a problem"" and asked,æ""When can we get rid of them?"" Candidate Trump responded,æ""We are going to be looking at a lot of things.""",public speech (political figures),male and female,http://www.nytimes.com/2016/11/09/us/politics/hillary-clinton-donald-trump-president.html; https://www.theguardian.com/commentisfree/2016/nov/08/donald-trump-america-muslim-citizens; http://www.reuters.com/article/us-usa-election-idUSKCN0Z12AS; http://www.npr.org/sections/itsallpolitics/2015/09/18/441458050/trump-does-nothing-as-questioner-alleges-obama-is-muslim,
63,38.897596,-77.038676,20500,DC,District of Columbia,2016,2016-11-17T00:00:00,Political Appointment,"President-elect Donald J. Trump names retired Lt. General Michael Flynnæas his national security advisor. Flynn has a well-established history of Islamophobic views and public statements, claiming that Islam is a political ideology that naturally gives rise to extremism and violence. He has also spoken publicly aboutæconspiracy theories claiming that Muslims seek to impose Shari'a on communities in the United States.",public speech (political figures),male and female,http://www.nytimes.com/2016/11/18/us/politics/michael-flynn-national-security-adviser-donald-trump.html; http://www.cnn.com/2016/11/23/politics/kfile-michael-flynn-sharia/index.html,
64,38.952134,-77.144923,22101,MD,Maryland,2016,2016-11-18T00:00:00,Political Appointment,"President-elect Donald J. Trump names Representative Mike Pompeo (R-KS) as theædirector of the Central Intelligence Agency (pending Senate confirmation). Pompeoæhas made public remarks decrying the purported silence of Muslim leaders in response to religiously-inspired violence, suggesting that it makes them complicit in attacks.æ",public speech (political figures),male and female,https://www.theguardian.com/us-news/2016/nov/17/sessions-flynn-and-pompeo-who-are-the-potential-trump-cabinet-picks-,
65,41.983994,-91.658936,52403,IA,Iowa,2016,2016-11-15T00:00:00,Hate Speech,"A Sudanese American resident of Cedar Rapids, Iowa, returns home to find a note taped to his door saying, ""You can all go home now. We don't want n______ and terrorists here. #Trump.""æ",bias-related incident (targeting individual or specific group),male and female,http://www.thegazette.com/subject/news/public-safety/hateful-note-taped-to-door-of-iowa-city-family-20161114,
66,33.770015,-118.196411,90802,CA,California,2016,2016-11-25T00:00:00,Violent Threat,"A letter addressed to the Children of Satan arrives at the Islamic Center of Long Beach, California. It states that Donald Trump's election is a day of reckoning for the Muslim community. Trump, it continues, is going to cleanse America,ædoing to Muslims what Hitler did to Jews. The same letter was sent to twelve other mosques across the country.",public campaigns (targeting community),male and female,http://www.latimes.com/local/lanow/la-me-ln-mosque-letters-trump-20161126-story.html,
67,34.059486,-118.23967,90012,CA,California,2016,2016-11-25T00:00:00,Violent Threat,"A letter addressed to the Children of Satan arrives at the Islamic Center of Claremont, California. It states that Donald Trump's election is a day of reckoning for the Muslim community. Trump, it continues, is going to cleanse America,ædoing to Muslims what Hitler did to Jews. The same letter was sent to twelve other mosques across the country.",public campaigns (targeting community),male and female,http://www.latimes.com/local/lanow/la-me-ln-mosque-letters-trump-20161126-story.html,
68,33.196753,-96.640034,75070,TX,Texas,2016,2016-11-20T00:00:00,Hate Speech,"A letter left at multiple residences in McKiney, Texas, claims that Donald Trump is a gift to the White Nation because he will make it possible to get rid of Muslims, Indians, Blacks, and Jews. It then continues ominously, claiming that the group behind the message is everywhere and watching every move, with members in law enforcement and government.",bias-related incident (targeting individual or specific group),male and female,http://www.nbcdfw.com/news/local/McKinney-Residents-Disturbed-After-Hateful-Flier-Left-On-Doorsteps--402788526.html,
69,40.463666,-79.991455,15212,PA,Pennsylvania,2016,2016-11-22T00:00:00,Assault,"A patron harasses and assaults a man in a restaurantæin the Pittsburg, Pennsylvania, area, using anti-Muslim slurs before physically attacking him. The victim, who is South Asian, is not Muslim.",crimes against people,male,http://www.post-gazette.com/local/west/2016/11/25/Bethel-Park-man-charged-with-using-Muslim-slurs-in-Red-Robin-attack/stories/201611250185,
70,37.335224,-121.915283,95126,CA,California,2016,2016-11-24T00:00:00,Violent Threat,"A letter addressed to the Children of Satan arrives at the Evergreen Islamic Center in San Jose, California. It states that Donald Trump's election is a day of reckoning for the Muslim community. Trump, it continues, is going to cleanse America,ædoing to Muslims what Hitler did to Jews. The same letter was sent to twelve other mosques across the country.",public campaigns (targeting community),male and female,http://www.mercurynews.com/2016/11/25/san-jose-islamic-center-target-of-hate-filled-letter/,
71,33.760882,-84.385986,30303,GA,Georgia,2016,2016-11-25T00:00:00,Legislative Discrimination,"A Republican lawmaker in Georgia pre-files and thenæabandons legislation that would have banned women from wearing face coverings in public.æHe decides to not pursue the bill (HB 3) in the 2017 session because of the visceral reaction it caused. In an interview, he says he is mindful that although it does not specifically target a specific group the bill may create an impression. He claims to have crafted the bill in the name of public safety.",legislation (targeting community),female,http://www.myajc.com/news/news/state-regional-govt-politics/lawmaker-recalls-bill-banning-veil-but-muslims-sti/ntCTK/,
72,40.241799,-103.793335,80701,CO,Colorado,2016,2016-01-06T00:00:00,Employment Discrimination,"Approximately 150 Muslim workers are fired from their meatpacking jobs atæCargill Meat Solutions after protesting restricted break time. The workers claim that management made plans to cut back on their breaks, restricting their ability to pray during the day and that the decision was religiously-based. The company disagrees and encourages employees to re-apply.",bias-related incident (targeting individual or specific group),male and female,https://www.nytimes.com/2016/03/08/us/prayer-dispute-between-somalis-and-plant-reshapes-a-colorado-town-again.html?_r=0,
73,33.445193,-112.071533,85004,AZ,Arizona,2016,2016-11-03T00:00:00,Hate Speech,"A teacher at a public school in Arizona accosts and accuses one of her Muslim students, whose family arrived in the United States with refugee status, of being a terrorist and states, in front of her class, thatæshe ""can't wait until Trump is elected"" because ""he's going to deport all you Muslims.""",bias-related incident (targeting individual or specific group),male,http://www.huffingtonpost.com/entry/teacher-muslim-student_us_581b753ae4b07cfea321b8a8,
